City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Chokwe,MZ,72.28,moderate rain,-24.5333,32.9833,Complexo Sonho Real
504,Alofi,NU,67.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
508,Karratha,AU,81.66,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
511,Port Macquarie,AU,67.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
512,Pires Do Rio,BR,89.35,overcast clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
513,Totness,SR,84.24,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
514,Lamu,KE,84.42,overcast clouds,-2.2717,40.902,Lamu House
521,San Quintin,MX,66.09,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
522,Awjilah,LY,72.9,broken clouds,29.1081,21.2869,
528,Villa Carlos Paz,AR,79.39,overcast clouds,-31.4241,-64.4978,Monte Carlo
529,Bocaiuva,BR,85.71,scattered clouds,-17.1078,-43.815,Hotel Maxim's
533,Kindu,CD,74.21,light rain,-2.95,25.95,Résidence Okanda
534,Camacupa,AO,75.18,broken clouds,-12.0167,17.4833,seviremde seni
535,Ipil,PH,76.01,overcast clouds,7.75,122.5167,
537,Gondanglegi,ID,76.19,moderate rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
538,Port Keats,AU,84.51,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
539,Bengkulu,ID,76.12,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
541,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
542,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
543,Irece,BR,85.78,overcast clouds,-11.3042,-41.8558,Caraíbas Palace Hotel
545,Bandarbeyla,SO,80.35,overcast clouds,9.4942,50.8122,JABIR HOTEL
546,Lixourion,GR,64.8,overcast clouds,38.2019,20.4314,Hotel Summery
549,Terme,TR,60.96,overcast clouds,41.2092,36.9739,OTEL GÜVEN TERME
553,Tessalit,ML,87.91,overcast clouds,20.1986,1.0114,
554,Trairi,BR,89.55,few clouds,-3.2778,-39.2689,janelas do mar
555,San Antonio,US,62.01,scattered clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
556,Ramat Yishay,IL,68.88,clear sky,32.7006,35.1797,Zimmer & Spa Kesem Hamaga
557,Cruz Grande,MX,79.18,few clouds,16.7333,-99.1333,Hotel Camila
558,Samarai,PG,83.14,few clouds,-10.6167,150.6667,Nuli Sapi
