City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
146,Chuy,UY,-33.6971,-53.4616,68.9,41,0,12.8,clear sky,2021-11-23 15:33:45
147,Harper,LR,4.375,-7.7169,82.83,75,47,8.34,scattered clouds,2021-11-23 15:33:45
148,Puquio,PE,-14.7,-74.1333,65.71,39,100,9.62,overcast clouds,2021-11-23 15:33:46
149,Husavik,IS,66.0449,-17.3389,31.91,79,100,7.96,overcast clouds,2021-11-23 15:33:46
150,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,72,91,6.62,overcast clouds,2021-11-23 15:33:46
151,Puerto Morazan,NI,12.8504,-87.1717,86.58,60,21,3.83,few clouds,2021-11-23 15:33:47
152,Boke,GN,10.9409,-14.2967,95.83,32,4,4.05,clear sky,2021-11-23 15:33:47
153,Shahrud,IR,36.4182,54.9763,48.33,61,59,3.91,broken clouds,2021-11-23 15:33:47
154,Georgetown,MY,5.4112,100.3354,78.73,93,40,5.01,light rain,2021-11-23 15:32:10
155,Haines Junction,CA,60.7522,-137.5108,-7.65,84,100,1.14,overcast clouds,2021-11-23 15:33:48
156,Kuytun,RU,54.3419,101.5036,14.38,96,95,7.0,overcast clouds,2021-11-23 15:33:48
157,Dikson,RU,73.5069,80.5464,-2.04,97,100,16.06,light snow,2021-11-23 15:33:48
158,Kungsbacka,SE,57.4872,12.0761,46.18,90,22,4.0,few clouds,2021-11-23 15:33:49
159,Souillac,MU,-20.5167,57.5167,79.18,69,40,6.91,scattered clouds,2021-11-23 15:33:49
160,Mahon,ES,39.8885,4.2658,61.36,82,40,9.22,scattered clouds,2021-11-23 15:33:49
161,Avera,US,33.194,-82.5271,46.9,30,0,9.31,clear sky,2021-11-23 15:33:50
162,Lahan,NP,26.7296,86.4951,65.7,62,0,4.63,clear sky,2021-11-23 15:33:50
163,Khatanga,RU,71.9667,102.5,0.3,79,100,18.43,overcast clouds,2021-11-23 15:33:50
